model_name,avg_pred_time,score_hold,score_cv,Extremely Over (3x-4x)_jobs,Massively Over (4x+)_jobs,Perfectly-allocated_jobs,Severely Over (2x-3x)_jobs,Under-allocated_jobs,Well-allocated (1x-2x)_jobs,total_jobs,Extremely Over (3x-4x)_perc,Massively Over (4x+)_perc,Perfectly-allocated_perc,Severely Over (2x-3x)_perc,Under-allocated_perc,Well-allocated (1x-2x)_perc,total_alloc_mem_gb,total_over_alloc_gb,total_true_mem_gb,total_under_alloc_gb
Baseline,,,,3223,4948,0,6728,916,6156,21971,14.67,22.52,0.00,30.62,4.17,28.02,4257083.00,2542162.35,1714920.65,0.00
gb_xgb_ensemble,2.354821598441376e-05,59.043706782219054,65.74233091176333,839,824,0,2767,659,16882,21971,3.82,3.75,0.00,12.59,3.00,76.84,2463291.92,755365.36,1714920.65,6994.09
lgb_xgb_ensemble,1.5590693420990754e-05,58.98467025728064,65.70025495830942,865,845,0,2798,636,16827,21971,3.94,3.85,0.00,12.73,2.89,76.59,2471561.01,763329.12,1714920.65,6688.75
gb_lgb_ensemble,2.870434465929632e-05,59.31602232684672,65.58191765485773,851,837,0,2759,687,16837,21971,3.87,3.81,0.00,12.56,3.13,76.63,2456858.02,749107.82,1714920.65,7170.44
xgb_cat_ensemble,4.79195191849239e-06,59.709395726296364,65.66437855261266,810,788,0,2721,712,16940,21971,3.69,3.59,0.00,12.38,3.24,77.10,2453255.39,746097.13,1714920.65,7762.38
lgb_cat_ensemble,1.8985046502005218e-06,59.57118287877806,65.65406297976392,831,822,0,2765,675,16878,21971,3.78,3.74,0.00,12.58,3.07,76.82,2465830.42,758166.85,1714920.65,7257.07
xgb_xgb_ensemble,2.7802334393461393e-05,59.03380894396857,65.81626053884054,820,797,0,2788,697,16869,21971,3.73,3.63,0.00,12.69,3.17,76.78,2447885.00,740365.39,1714920.65,7401.13
lgb_lgb_ensemble,2.560924373593894e-06,60.532817348751706,65.72291096023835,892,956,0,2827,699,16597,21971,4.06,4.35,0.00,12.87,3.18,75.54,2472534.35,765291.65,1714920.65,7677.95
cat_cat_ensemble,1.2330465033330956e-06,59.357969271244315,65.81402104554843,783,773,0,2680,775,16960,21971,3.56,3.52,0.00,12.20,3.53,77.19,2422157.78,715483.49,1714920.65,8246.35
xgboost_regression,6.727243195753778e-06,61.784080654444516,67.59191654417131,881,968,0,2899,833,16390,21971,4.01,4.41,0.00,13.19,3.79,74.60,2441488.00,734453.76,1714920.65,7886.43
lightgbm_regression,6.8399035975667326e-06,62.549557802939844,68.13650875881692,940,1066,0,3034,753,16178,21971,4.28,4.85,0.00,13.81,3.43,73.63,2486501.70,778802.62,1714920.65,7221.56
xgboost_classification,3.192453096617305e-05,95.56077279037859,81.20948842550959,515,603,0,2258,2576,16019,21971,2.34,2.74,0.00,10.28,11.72,72.91,2309657.30,633458.12,1714920.65,38721.47
lightgbm_classification,0.0001236165770574584,88.60196198507195,81.5260655599848,579,623,0,2382,2185,16202,21971,2.64,2.84,0.00,10.84,9.94,73.74,2350259.88,666715.27,1714920.65,31376.04
rf_classification,1.151706821781433e-05,74.88755023019812,81.92069549627274,1091,1024,0,3925,588,15343,21971,4.97,4.66,0.00,17.86,2.68,69.83,2760063.36,1054783.81,1714920.65,9641.09
lr_classification,1.6400324761702037e-06,77.0068260812487,84.41289537547866,1427,1236,0,4340,446,14522,21971,6.49,5.63,0.00,19.75,2.03,66.10,2852930.25,1146545.92,1714920.65,8536.31
