iter	Passed	Remaining
0	183	54957
1	419	62485
2	659	65249
3	870	64444
4	1075	63442
5	1304	63942
6	1520	63646
7	1724	62940
8	1929	62395
9	2143	62148
10	2378	62482
11	2608	62595
12	2824	62359
13	3055	62425
14	3290	62525
15	3527	62614
16	3720	61928
17	3897	61059
18	4130	61086
19	4335	60694
20	4570	60723
21	4821	60923
22	5004	60267
23	5241	60276
24	5471	60186
25	5701	60080
26	5937	60037
27	6157	59812
28	6386	59677
29	6638	59750
30	6848	59429
31	7074	59250
32	7328	59297
33	7547	59045
34	7775	58871
35	8009	58736
36	8237	58553
37	8484	58500
38	8716	58330
39	8943	58131
40	9140	57742
41	9372	57576
42	9584	57285
43	9816	57116
44	10053	56971
45	10296	56854
46	10554	56817
47	10779	56589
48	11045	56578
49	11259	56298
50	11511	56202
51	11743	56007
52	11974	55803
53	12240	55763
54	12460	55505
55	12632	55039
56	12869	54865
57	13111	54706
58	13335	54470
59	13576	54306
60	13847	54256
61	14049	53932
62	14275	53701
63	14490	53432
64	14733	53268
65	14970	53077
66	15208	52887
67	15458	52739
68	15529	51989
69	15796	51904
70	16055	51784
71	16287	51577
72	16533	51412
73	16763	51197
74	16990	50971
75	17231	50788
76	17465	50582
77	17703	50387
78	17926	50148
79	17948	49357
80	18188	49174
81	18388	48886
82	18645	48747
83	18883	48558
84	19129	48387
85	19381	48228
86	19620	48036
87	19867	47863
88	20120	47702
89	20350	47485
90	20587	47282
91	20837	47111
92	21060	46876
93	21318	46718
94	21536	46473
95	21752	46223
96	22040	46124
97	22255	45873
98	22498	45678
99	22743	45487
100	23009	45335
101	23271	45173
102	23523	44990
103	23767	44793
104	24002	44576
105	24212	44313
106	24474	44145
107	24656	43834
108	24904	43639
109	25157	43453
110	25415	43275
111	25663	43078
112	25901	42863
113	26185	42723
114	26401	42471
115	26662	42292
116	26883	42048
117	27125	41837
118	27332	41572
119	27588	41382
120	27821	41157
121	28050	40926
122	28307	40734
123	28539	40508
124	28775	40285
125	29035	40097
126	29276	39880
127	29527	39677
128	29757	39446
129	29982	39207
130	30241	39013
131	30484	38798
132	30504	38303
133	30770	38118
134	31013	37905
135	31223	37651
136	31467	37439
137	31710	37225
138	31972	37032
139	32214	36816
140	32475	36621
141	32706	36391
142	32975	36204
143	33210	35978
144	33433	35738
145	33693	35540
146	33958	35344
147	34187	35111
148	34448	34910
149	34679	34679
150	34951	34488
151	35188	34262
152	35441	34051
153	35704	33849
154	35969	33649
155	36201	33416
156	36444	33194
157	36676	32962
158	36932	32751
159	37151	32507
160	37389	32280
161	37627	32052
162	37880	31838
163	37967	31485
164	38208	31261
165	38442	31031
166	38685	30809
167	38896	30561
168	39140	30339
169	39386	30119
170	39636	29901
171	39880	29678
172	40104	29440
173	40323	29199
174	40580	28986
175	40814	28755
176	41078	28546
177	41279	28292
178	41540	28080
179	41767	27845
180	41984	27603
181	42228	27378
182	42460	27147
183	42704	26922
184	42942	26693
185	43185	26468
186	43415	26234
187	43650	26004
188	43857	25757
189	44117	25541
190	44364	25318
191	44614	25095
192	44829	24853
193	45077	24629
194	45257	24369
195	45532	24159
196	45752	23921
197	46013	23703
198	46260	23478
199	46519	23259
200	46697	23000
201	46958	22782
202	47171	22539
203	47430	22320
204	47670	22091
205	47926	21869
206	48114	21616
207	48336	21379
208	48589	21156
209	48834	20929
210	49097	20709
211	49329	20476
212	49533	20232
213	49757	19995
214	50006	19770
215	50231	19534
216	50504	19317
217	50712	19075
218	50989	18859
219	51242	18633
220	51497	18408
221	51740	18179
222	51917	17926
223	52116	17682
224	52348	17449
225	52612	17227
226	52872	17003
227	53028	16745
228	53264	16514
229	53484	16277
230	53712	16043
231	53966	15817
232	54157	15573
233	54411	15346
234	54651	15116
235	54866	14879
236	55113	14650
237	55311	14408
238	55567	14182
239	55812	13953
240	56039	13719
241	56263	13484
242	56438	13238
243	56705	13014
244	56971	12789
245	57196	12555
246	57412	12319
247	57605	12078
248	57841	11847
249	58069	11613
250	58226	11366
251	58411	11125
252	58643	10894
253	58886	10664
254	59103	10430
255	59393	10208
256	59574	9967
257	59785	9732
258	59973	9493
259	60198	9261
260	60449	9032
261	60614	8791
262	60892	8566
263	61119	8334
264	61368	8105
265	61625	7876
266	61866	7646
267	62048	7408
268	62300	7179
269	62556	6950
270	62818	6722
271	63071	6492
272	63324	6262
273	63552	6030
274	63788	5798
275	64014	5566
276	64240	5334
277	64498	5104
278	64718	4871
279	64982	4641
280	65191	4407
281	65416	4175
282	65671	3944
283	65930	3714
284	66203	3484
285	66389	3249
286	66642	3018
287	66918	2788
288	67183	2557
289	67426	2325
290	67652	2092
291	67900	1860
292	68172	1628
293	68397	1395
294	68652	1163
295	68907	931
296	69151	698
297	69426	465
298	69648	232
299	69912	0
